2026-06-10 22:03:32,616 - INFO - Loaded 1904 pages (98790 rows); skipped 0 files
2026-06-10 22:03:37,200 - INFO - GV join review rows: 0
2026-06-10 22:03:57,403 - INFO - Townland groups: 2810 one-page, 682 multi-page
2026-06-10 22:03:58,187 - INFO - Wrote results/gemini/combined_extractions.csv
2026-06-10 22:03:58,406 - INFO - Wrote results/gemini/combined_extractions.parquet
2026-06-10 22:04:03,075 - INFO - Wrote results/gemini/townland_valuation_checks.csv (3854 segments)
2026-06-10 22:04:03,081 - INFO - Wrote results/gemini/performance_summary.json
2026-06-10 22:04:03,081 - INFO - Summary: {
  "llm": "gemini",
  "pages_processed": 1904,
  "entry_rows": 98790,
  "townland_segments": 3854,
  "segments_with_total_row": 3160,
  "segments_with_total_row_pct": 81.99,
  "valuation_pass_count": 2746,
  "valuation_pass_pct": 86.9,
  "pages_missing_gv_join": 0,
  "gv_join_review_rows": 0,
  "one_page_townlands_segments": 2811,
  "one_page_townlands_valuation_pass_pct": 86.62,
  "multi_page_townlands_segments": 1043,
  "multi_page_townlands_valuation_pass_pct": 87.65
}
